Drone position: (-0.19628951409031148, 8.005531897937173) at time 161.864
Drone position: (-0.20383910973253894, 8.016650674578576) at time 161.916
Drone position: (-0.21893830152467886, 8.03888823597925) at time 161.964
Drone position: (-0.22648789704926153, 8.050007012851188) at time 162.008
Drone position: (-0.22648789644362022, 8.061125798921596) at time 162.024
Drone position: (-0.2340374923890769, 8.072244583351909) at time 162.044
Drone position: (-0.23403749129901907, 8.083363360613806) at time 162.088
Drone position: (-0.24158708700478926, 8.094482138505345) at time 162.136
Drone position: (-0.2566862788879769, 8.105600915895765) at time 162.18
Drone position: (-0.26423587424837847, 8.11671969437952) at time 162.22
Drone position: (-0.27178546950496296, 8.127838467150696) at time 162.272
Drone position: (-0.27933506467539326, 8.138957248810597) at time 162.316
Drone position: (-0.28688466024969117, 8.150076034136617) at time 162.324
Drone position: (-0.28688466003327306, 8.150076028168037) at time 162.344
Drone position: (-0.2944342553653626, 8.161194807198553) at time 162.384
Drone position: (-0.3019838503546056, 8.172313587208436) at time 162.432
Drone position: (-0.3170830416502164, 8.183432358895566) at time 162.48
Drone position: (-0.32463263672879217, 8.194551139852091) at time 162.532
Drone position: (-0.32463263584132485, 8.20566992839527) at time 162.544
Drone position: (-0.3321822317815776, 8.205669921742526) at time 162.564
Drone position: (-0.33973182671671864, 8.216788703863497) at time 162.604
Drone position: (-0.3472814218821052, 8.227907486640351) at time 162.648
Drone position: (-0.35483101670212325, 8.239026269379004) at time 162.692
Drone position: (-0.3623806123743777, 8.239026258625499) at time 162.728
Drone position: (-0.36993020737558313, 8.250145041753335) at time 162.776
Drone position: (-0.3774798020081517, 8.261263826794448) at time 162.824
Drone position: (-0.385029396764627, 8.27238260702213) at time 162.864
Drone position: (-0.3925789924110913, 8.272382597202535) at time 162.908
Drone position: (-0.39257899216888303, 8.272382592167865) at time 162.924
Drone position: (-0.40012858717952915, 8.283501381809007) at time 162.944
Drone position: (-0.4001285866693226, 8.283501373303991) at time 162.984
Drone position: (-0.40767818138870204, 8.294620159535015) at time 163.036
Drone position: (-0.4152277771244992, 8.294620151292477) at time 163.08
Drone position: (-0.42277737157588047, 8.305738934053156) at time 163.124
Drone position: (-0.430326966940519, 8.30573892670633) at time 163.172
Drone position: (-0.4303269660505298, 8.316857715492777) at time 163.184
Drone position: (-0.43032696587186436, 8.316857713599493) at time 163.208
Drone position: (-0.43787656164793576, 8.316857707928149) at time 163.252
Drone position: (-0.44542615622640247, 8.327976495710766) at time 163.296
Drone position: (-0.44542615609679514, 8.327976491562513) at time 163.34
Collision detected at (-0.44542615609679514, 8.327976491562513) at time 163.36
Drone position: (-0.4529757508023471, 8.339095284367067) at time 163.384
Mission aborted due to collision.
Drone position: (-0.45297575089167996, 8.33909528531371) at time 163.4
Drone position: (-0.4680749422408411, 8.350214087260179) at time 163.4
Collision detected at (-0.4529757508023471, 8.339095284367067) at time 163.4
Drone position: (-0.4680749422408411, 8.350214087260179) at time 163.4
Drone position: (-0.4680749422408411, 8.350214087260179) at time 163.4
Drone position: (-0.4756245371533705, 8.361332880780843) at time 163.648
Drone position: (-0.4756245371533705, 8.361332880780843) at time 163.692
Collision detected at (-0.47562453724270326, 8.361332881727485) at time 163.736
Drone position: (-0.47562453724270326, 8.361332881727485) at time 163.736
Drone position: (-0.47562453744463706, 8.361332884190963) at time 163.74
Drone position: (-0.4756245364307412, 8.372451679051672) at time 163.852
Drone position: (-0.4756245365200741, 8.372451680628732) at time 163.88
Drone position: (-0.47562453660940684, 8.372451681575374) at time 163.88
Drone position: (-0.4756245367220079, 8.372451682461792) at time 163.976
Collision detected at (-0.4756245367220079, 8.372451682461792) at time 163.98
Drone position: (-0.4756245357313804, 8.383570475371025) at time 164.028
Drone position: (-0.47562453582071296, 8.383570476948085) at time 164.06
Drone position: (-0.4756245359333141, 8.383570477204087) at time 164.108
Drone position: (-0.4756245359333141, 8.383570477204087) at time 164.144
Drone position: (-0.475624536022647, 8.383570478781145) at time 164.16
Collision detected at (-0.475624536022647, 8.383570478781145) at time 164.164
Drone position: (-0.475624536022647, 8.383570478781145) at time 164.18
Drone position: (-0.47562453597358867, 8.383570481036115) at time 164.22
Drone position: (-0.47562453530253934, 8.39468927617829) at time 164.26
Drone position: (-0.4756245353918722, 8.39468927775535) at time 164.272
Drone position: (-0.47562453543214667, 8.39468928095696) at time 164.344
Collision detected at (-0.47562453543214667, 8.39468928095696) at time 164.36
Drone position: (-0.47562453563408047, 8.394689282790022) at time 164.396
Drone position: (-0.47562453563408047, 8.394689282790022) at time 164.404
Drone position: (-0.47562453563408047, 8.394689282790022) at time 164.424
Drone position: (-0.4756245347095175, 8.405808077966956) at time 164.468
Drone position: (-0.4756245348221184, 8.405808078222957) at time 164.504
Drone position: (-0.4756245349114512, 8.405808079800018) at time 164.54
Drone position: (-0.4756245349114512, 8.405808079800018) at time 164.544
Collision detected at (-0.4756245349114512, 8.405808079800018) at time 164.564
Drone position: (-0.47562453500078405, 8.405808081377076) at time 164.58
Drone position: (-0.4756245352455142, 8.405808085538064) at time 164.628
Drone position: (-0.4756245353581151, 8.405808086424482) at time 164.676
Drone position: (-0.47562453553678075, 8.405808088948184) at time 164.684
Drone position: (-0.47562453553678075, 8.405808088948184) at time 164.7
Drone position: (-0.47562453548772243, 8.405808090572735) at time 164.744
Collision detected at (-0.47562453548772243, 8.405808090572735) at time 164.76
Drone position: (-0.47562453566638785, 8.405808093096438) at time 164.792
Drone position: (-0.475624535778989, 8.405808093982856) at time 164.844
Drone position: (-0.475624535778989, 8.405808093982856) at time 164.844
Drone position: (-0.475624535778989, 8.405808093982856) at time 164.864
Drone position: (-0.4831741316305658, 8.405808096462104) at time 164.904
Drone position: (-0.48317413268725784, 8.394689305190155) at time 164.948
Collision detected at (-0.48317413268725784, 8.394689305190155) at time 164.964
Drone position: (-0.48317413288919164, 8.394689307023217) at time 164.996
Drone position: (-0.49072372860237745, 8.394689310180375) at time 165.04
Drone position: (-0.498273325669784, 8.383570519001559) at time 165.088
Drone position: (-0.4982733257993911, 8.383570523149814) at time 165.132
Drone position: (-0.49827332591199225, 8.38357052403623) at time 165.144
Drone position: (-0.505822922961174, 8.372451734322354) at time 165.164
Collision detected at (-0.49827332591199225, 8.38357052403623) at time 165.164
Drone position: (-0.5058229231398395, 8.372451736846056) at time 165.204
Drone position: (-0.5058229232291723, 8.3724517377927) at time 165.252
Drone position: (-0.5058229243959436, 8.361332946389602) at time 165.296
Drone position: (-0.5133725203135849, 8.361332950506135) at time 165.34
Collision detected at (-0.5133725203135849, 8.361332950506135) at time 165.364
Drone position: (-0.5133725206451261, 8.361332957748285) at time 165.384
Drone position: (-0.520922117804387, 8.35021416790326) at time 165.428
Drone position: (-0.5209221181875083, 8.350214172016756) at time 165.44
Drone position: (-0.5209221183001095, 8.350214172903174) at time 165.464
Drone position: (-0.5209221195757415, 8.339095386095703) at time 165.504
Drone position: (-0.5284717159488307, 8.339095391380123) at time 165.552
Collision detected at (-0.5284717159488307, 8.339095391380123) at time 165.56
Drone position: (-0.5284717161017062, 8.339095395468153) at time 165.596
Drone position: (-0.528471717360332, 8.327976605398849) at time 165.644
Drone position: (-0.5360213133930962, 8.327976609528115) at time 165.688
Drone position: (-0.5360213135056973, 8.327976610414533) at time 165.704
Drone position: (-0.5360213137994857, 8.327976612950968) at time 165.724
Collision detected at (-0.5360213137994857, 8.327976612950968) at time 165.76
Drone position: (-0.536021314968779, 8.316857821304604) at time 165.764
Drone position: (-0.5435709111374125, 8.316857825629647) at time 165.808
Drone position: (-0.5435709122576473, 8.305739036868665) at time 165.844
Drone position: (-0.5435709126640367, 8.30573904029152) at time 165.896
Drone position: (-0.5435709138736042, 8.294620251216351) at time 165.94
Collision detected at (-0.5435709138736042, 8.294620251216351) at time 165.96
Drone position: (-0.5511205113782341, 8.283501462039943) at time 165.984
Drone position: (-0.5511205116487542, 8.28350146526702) at time 166.028
Drone position: (-0.5511205116229639, 8.28350146620093) at time 166.044
Drone position: (-0.5511205128413157, 8.272382672930014) at time 166.064
Drone position: (-0.5586701089231382, 8.272382675434729) at time 166.108
Drone position: (-0.5586701102075541, 8.261263883801098) at time 166.148
Collision detected at (-0.5586701102075541, 8.261263883801098) at time 166.16
Drone position: (-0.5586701113768474, 8.250145091524317) at time 166.196
Drone position: (-0.5586701125719306, 8.239026300204875) at time 166.236
Drone position: (-0.5586701138330783, 8.22790750863147) at time 166.28
Drone position: (-0.5586701149130389, 8.216788716038462) at time 166.312
Drone position: (-0.5586701172799369, 8.194551130938137) at time 166.348
Collision detected at (-0.5586701172799369, 8.194551130938137) at time 166.364
Drone position: (-0.558670118293833, 8.18343233607743) at time 166.396
Drone position: (-0.5511205230384567, 8.17231354164488) at time 166.436
Drone position: (-0.5511205241467289, 8.161194746613862) at time 166.48
Drone position: (-0.5435709308958763, 8.127838363780956) at time 166.524
Collision detected at (-0.5435709308958763, 8.127838363780956) at time 166.564
Drone position: (-0.5360213357323547, 8.116719568790948) at time 166.568
Drone position: (-0.5360213366078593, 8.105600775238567) at time 166.584
Drone position: (-0.5284717414908744, 8.09448198012811) at time 166.604
Drone position: (-0.5284717425242982, 8.083363188285968) at time 166.644
Drone position: (-0.5209221482337595, 8.061125600617263) at time 166.692
Drone position: (-0.5209221491985969, 8.050006808011522) at time 166.74
Collision detected at (-0.5209221491985969, 8.050006808011522) at time 166.764
Drone position: (-0.513372555898686, 8.016650426172749) at time 166.784
Drone position: (-0.5058229604646441, 8.005531628586084) at time 166.828
Drone position: (-0.498273364840631, 7.994412834805978) at time 166.844
Drone position: (-0.498273365626803, 7.983294039046117) at time 166.864
Drone position: (-0.49072377014118107, 7.972175244588103) at time 166.912
Drone position: (-0.48317417553358577, 7.949937655704021) at time 166.956
Collision detected at (-0.48317417553358577, 7.949937655704021) at time 166.968
Drone position: (-0.4756245815945175, 7.916581270029779) at time 167.004
Drone position: (-0.46807498576857054, 7.905462474416613) at time 167.052
Drone position: (-0.46052539007849314, 7.894343678999222) at time 167.064
Drone position: (-0.46052539097978784, 7.883224883252096) at time 167.084
Drone position: (-0.4529757956581869, 7.860987293721421) at time 167.132
Collision detected at (-0.4529757956581869, 7.860987293721421) at time 167.168
Drone position: (-0.4378766036069829, 7.849868496767983) at time 167.18
Drone position: (-0.4303270083086501, 7.827630907807501) at time 167.22
Drone position: (-0.4227774140927998, 7.794274523489076) at time 167.268
Drone position: (-0.4076782221540365, 7.772036935222049) at time 167.312
Drone position: (-0.4001286262997774, 7.760918140786059) at time 167.324
Drone position: (-0.40012862708594954, 7.7497993450262) at time 167.34
Collision detected at (-0.40012862708594954, 7.7497993450262) at time 167.364
Drone position: (-0.38502943482760754, 7.7275617551566445) at time 167.384
Drone position: (-0.37747983935060936, 7.705324163042045) at time 167.424
Drone position: (-0.36238064702872474, 7.683086570661521) at time 167.472
Drone position: (-0.3472814546577818, 7.66084897990555) at time 167.512
Drone position: (-0.3397318583688216, 7.649730183854301) at time 167.54
Drone position: (-0.33973185880962486, 7.6386113893170755) at time 167.544
Collision detected at (-0.33973185880962486, 7.6386113893170755) at time 167.568
Drone position: (-0.33218226263578765, 7.627492593278559) at time 167.58
Drone position: (-0.3095334730085252, 7.605255000581181) at time 167.624
Drone position: (-0.2944342801513006, 7.583017411338603) at time 167.672
Drone position: (-0.28688468448433113, 7.560779821139311) at time 167.684
Drone position: (-0.27933508743246716, 7.560779820787699) at time 167.704
Drone position: (-0.26423589446011986, 7.538542231532388) at time 167.744
Drone position: (-0.25668629842199153, 7.51630464348964) at time 167.78
Drone position: (-0.24913670128331666, 7.516304640687283) at time 167.784
Drone position: (-0.23403750812978175, 7.494067049151537) at time 167.828
Drone position: (-0.21893831484037785, 7.471829458050431) at time 167.876
Drone position: (-0.1962895242921323, 7.449591865251186) at time 167.924
Drone position: (-0.18119033074417046, 7.427354275301793) at time 167.968
Drone position: (-0.1736407339223921, 7.416235483406053) at time 167.984
Drone position: (-0.16609113705781764, 7.405116687291139) at time 168.004
Drone position: (-0.15099194318417541, 7.393997893152537) at time 168.048
Drone position: (-0.13589274915245375, 7.371760303212435) at time 168.096
Drone position: (-0.12079355532518787, 7.349522715492542) at time 168.144
Drone position: (-0.10569436140606736, 7.327285127699691) at time 168.192
Drone position: (-0.098144764172856, 7.316166332237218) at time 168.204
Drone position: (-0.09059516698260095, 7.316166331933097) at time 168.224
Drone position: (-0.07549597272063358, 7.293928743228362) at time 168.268
Drone position: (-0.0603967783890218, 7.282809948165141) at time 168.312
Drone position: (-0.045297584011931624, 7.260572359447673) at time 168.364
Drone position: (-0.030198389240574608, 7.249453564516564) at time 168.408
Drone position: (-0.022648791958304826, 7.238334770048225) at time 168.424
Drone position: (-0.022648791981412897, 7.2272159771575755) at time 168.444
Drone position: (-0.007549597301910516, 7.2160971829298415) at time 168.488
Drone position: (9.548217771992995e-11, 7.204978389709604) at time 168.536
Drone position: (0.01509919498464396, 7.182740802178604) at time 168.584
Drone position: (0.030198389868602016, 7.171622006991495) at time 168.636
Drone position: (0.03774798728658091, 7.171622006418637) at time 168.636
Drone position: (0.03774798737859564, 7.1605032122544205) at time 168.664
Drone position: (0.04529758477598844, 7.1493844196646) at time 168.708
Drone position: (0.060396780028583286, 7.138265625129932) at time 168.756
Drone position: (0.06794637740522957, 7.127146830831903) at time 168.8
Drone position: (0.07549597523984553, 7.116028036870091) at time 168.836
Drone position: (0.08304557286748393, 7.104909243624387) at time 168.88
Drone position: (0.09814476810559447, 7.093790451964405) at time 168.928
Drone position: (0.09814476831525398, 7.082671659921974) at time 168.972
Drone position: (0.10569436582760938, 7.082671659519428) at time 168.98
Drone position: (0.10569436603474702, 7.071552865972896) at time 169.0
Drone position: (0.11324396356784894, 7.071552865387305) at time 169.044
Drone position: (0.11324396372845003, 7.060434069829073) at time 169.088
Drone position: (0.12079356160708066, 7.049315276374859) at time 169.132
Drone position: (0.1207935616328708, 7.049315277939185) at time 169.176
Drone position: (0.12834315932909546, 7.038196482669047) at time 169.22
Drone position: (0.1358927572360381, 7.027077691022429) at time 169.268
Drone position: (0.1358927572360381, 7.027077691022429) at time 169.312
Drone position: (0.14344235523483528, 7.015958898672434) at time 169.324
Drone position: (0.14344235523483528, 7.015958898672434) at time 169.344
Drone position: (0.14344235558288587, 7.0048401060470775) at time 169.388
Drone position: (0.14344235555709572, 7.004840105113168) at time 169.436
Drone position: (0.1509919531587839, 7.004840103133562) at time 169.48
Drone position: (0.15099195350179095, 6.993721308760836) at time 169.524
Drone position: (0.15099195350179095, 6.993721308760836) at time 169.576
Drone position: (0.15099195350179095, 6.993721308760836) at time 169.584
Drone position: (0.15099195350179095, 6.993721308760836) at time 169.604
Drone position: (0.1585415513364069, 6.982602514799023) at time 169.652
Drone position: (0.1585415513364069, 6.982602514799023) at time 169.696
Drone position: (0.15854155136219694, 6.982602515732933) at time 169.74
Drone position: (0.15854155171024764, 6.971483722477159) at time 169.788
Drone position: (0.1585415516844576, 6.971483722173667) at time 169.836
Drone position: (0.1585415516844576, 6.971483722173667) at time 169.844
Drone position: (0.15854155165866746, 6.97148372060934) at time 169.864
Drone position: (0.15854155165866746, 6.97148372060934) at time 169.908
